2023-08-31T15:41:20.474Z warp-stats: Time since handshake: 112.96s, tx: 49.99MiB, rx: 107.89MiB, loss: 0.2%, latency: 16ms
2023-08-31T15:43:20.477Z warp-stats: Time since handshake: 112.96s, tx: 50.57MiB, rx: 108.42MiB, loss: 0.0%, latency: 17ms
2023-08-31T15:45:20.477Z warp-stats: Time since handshake: 112.95s, tx: 51.18MiB, rx: 108.96MiB, loss: 0.0%, latency: 12ms
2023-08-31T15:47:20.478Z warp-stats: Time since handshake: 112.95s, tx: 51.74MiB, rx: 109.47MiB, loss: 0.1%, latency: 13ms
2023-08-31T15:49:20.479Z warp-stats: Time since handshake: 112.95s, tx: 51.95MiB, rx: 109.61MiB, loss: 0.0%, latency: 14ms
2023-08-31T15:51:20.480Z warp-stats: Time since handshake: 112.95s, tx: 52.12MiB, rx: 109.77MiB, loss: 0.3%, latency: 14ms
2023-08-31T15:53:20.481Z warp-stats: Time since handshake: 112.95s, tx: 52.47MiB, rx: 110.07MiB, loss: 0.1%, latency: 15ms
2023-08-31T15:55:20.482Z warp-stats: Time since handshake: 112.95s, tx: 52.88MiB, rx: 110.38MiB, loss: 0.1%, latency: 104ms
2023-08-31T15:57:20.482Z warp-stats: Time since handshake: 112.65s, tx: 53.32MiB, rx: 110.77MiB, loss: 0.0%, latency: 18ms
2023-08-31T15:59:20.484Z warp-stats: Time since handshake: 112.64s, tx: 53.68MiB, rx: 111.06MiB, loss: 0.0%, latency: 135ms
