2023-08-13T21:05:19.836Z warp-dns-stats: Queries: 99, Success: 93.9%, TimedOut: 0.0%, NoRecordsFound: 6.1%, Other Error: 0.0%, Avg Duration: 41.11ms
2023-08-13T21:07:19.836Z warp-dns-stats: Queries: 80, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 35.92ms
2023-08-13T21:09:19.836Z warp-dns-stats: Queries: 121, Success: 94.2%, TimedOut: 0.0%, NoRecordsFound: 5.8%, Other Error: 0.0%, Avg Duration: 41.69ms
2023-08-13T21:11:19.836Z warp-dns-stats: Queries: 109, Success: 91.7%, TimedOut: 0.0%, NoRecordsFound: 8.3%, Other Error: 0.0%, Avg Duration: 113.72ms
2023-08-13T21:13:19.838Z warp-dns-stats: Queries: 148, Success: 98.6%, TimedOut: 1.4%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 100.47ms
2023-08-13T21:15:19.838Z warp-dns-stats: Queries: 74, Success: 97.3%, TimedOut: 0.0%, NoRecordsFound: 2.7%, Other Error: 0.0%, Avg Duration: 31.16ms
2023-08-13T21:17:19.838Z warp-dns-stats: Queries: 47, Success: 93.6%, TimedOut: 0.0%, NoRecordsFound: 6.4%, Other Error: 0.0%, Avg Duration: 64.68ms
2023-08-13T21:19:19.839Z warp-dns-stats: Queries: 53, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 24.79ms
2023-08-13T21:21:19.840Z warp-dns-stats: Queries: 41, Success: 90.2%, TimedOut: 0.0%, NoRecordsFound: 9.8%, Other Error: 0.0%, Avg Duration: 44.71ms
2023-08-13T21:23:19.841Z warp-dns-stats: Queries: 36, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 13.19ms
2023-08-13T21:25:19.840Z warp-dns-stats: Queries: 82, Success: 97.6%, TimedOut: 0.0%, NoRecordsFound: 2.4%, Other Error: 0.0%, Avg Duration: 37.44ms
2023-08-13T21:27:19.841Z warp-dns-stats: Queries: 107, Success: 88.8%, TimedOut: 0.0%, NoRecordsFound: 11.2%, Other Error: 0.0%, Avg Duration: 29.77ms
2023-08-13T21:44:45.661Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-13T22:01:11.586Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-13T22:17:27.366Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-13T22:33:24.454Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-13T22:50:21.465Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
