2023-08-31T13:13:21.833Z warp-dns-stats: Queries: 45, Success: 91.1%, TimedOut: 0.0%, NoRecordsFound: 8.9%, Other Error: 0.0%, Avg Duration: 63.04ms
2023-08-31T13:15:21.834Z warp-dns-stats: Queries: 35, Success: 97.1%, TimedOut: 0.0%, NoRecordsFound: 2.9%, Other Error: 0.0%, Avg Duration: 32.71ms
2023-08-31T13:17:21.835Z warp-dns-stats: Queries: 62, Success: 90.3%, TimedOut: 0.0%, NoRecordsFound: 9.7%, Other Error: 0.0%, Avg Duration: 57.97ms
2023-08-31T13:19:21.836Z warp-dns-stats: Queries: 46, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 44.33ms
2023-08-31T13:21:21.838Z warp-dns-stats: Queries: 45, Success: 95.6%, TimedOut: 0.0%, NoRecordsFound: 4.4%, Other Error: 0.0%, Avg Duration: 28.44ms
2023-08-31T13:23:21.839Z warp-dns-stats: Queries: 46, Success: 95.7%, TimedOut: 0.0%, NoRecordsFound: 4.3%, Other Error: 0.0%, Avg Duration: 29.17ms
2023-08-31T13:25:21.841Z warp-dns-stats: Queries: 94, Success: 95.7%, TimedOut: 0.0%, NoRecordsFound: 4.3%, Other Error: 0.0%, Avg Duration: 116.26ms
2023-08-31T13:27:21.842Z warp-dns-stats: Queries: 44, Success: 97.7%, TimedOut: 0.0%, NoRecordsFound: 2.3%, Other Error: 0.0%, Avg Duration: 25.05ms
2023-08-31T13:29:21.844Z warp-dns-stats: Queries: 34, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 8.65ms
2023-08-31T13:31:21.846Z warp-dns-stats: Queries: 38, Success: 92.1%, TimedOut: 0.0%, NoRecordsFound: 7.9%, Other Error: 0.0%, Avg Duration: 23.82ms
